Time(Local),Production,Consumption
31.12.2018 23:00:00 +01:00,10788.95,15219.11
01.01.2019 00:00:00 +01:00,11102.60,15280.74
01.01.2019 01:00:00 +01:00,11900.70,15181.03
01.01.2019 02:00:00 +01:00,11936.74,15193.00
01.01.2019 03:00:00 +01:00,11285.01,14979.83
01.01.2019 04:00:00 +01:00,10960.71,14965.87
01.01.2019 05:00:00 +01:00,11043.18,15098.35
01.01.2019 06:00:00 +01:00,11605.73,15454.13
01.01.2019 07:00:00 +01:00,12409.14,15701.70
01.01.2019 08:00:00 +01:00,11983.67,15957.02
01.01.2019 09:00:00 +01:00,12284.67,16314.33
01.01.2019 10:00:00 +01:00,12958.24,16644.73
01.01.2019 11:00:00 +01:00,13244.55,16730.84
01.01.2019 12:00:00 +01:00,13210.95,16911.88
01.01.2019 13:00:00 +01:00,13261.80,17030.72
01.01.2019 14:00:00 +01:00,13133.49,17293.98
01.01.2019 15:00:00 +01:00,13850.99,17684.48
01.01.2019 16:00:00 +01:00,14652.17,18044.50
01.01.2019 17:00:00 +01:00,14782.61,18071.42
01.01.2019 18:00:00 +01:00,14246.35,17930.97
01.01.2019 19:00:00 +01:00,13577.61,17628.64
01.01.2019 20:00:00 +01:00,13525.48,17467.56
01.01.2019 21:00:00 +01:00,13371.90,17218.19
01.01.2019 22:00:00 +01:00,13272.30,16852.54
01.01.2019 23:00:00 +01:00,12952.02,16419.26
02.01.2019 00:00:00 +01:00,12990.74,16079.72
02.01.2019 01:00:00 +01:00,12362.54,15870.13
02.01.2019 02:00:00 +01:00,12117.03,15757.57
02.01.2019 03:00:00 +01:00,11756.13,15768.13
02.01.2019 04:00:00 +01:00,12014.81,15925.97
02.01.2019 05:00:00 +01:00,12422.83,16375.57
02.01.2019 06:00:00 +01:00,13563.80,17608.87
02.01.2019 07:00:00 +01:00,14915.94,18893.15
02.01.2019 08:00:00 +01:00,15800.97,19509.85
02.01.2019 09:00:00 +01:00,16338.12,19639.97
02.01.2019 10:00:00 +01:00,16626.92,19744.14
02.01.2019 11:00:00 +01:00,16222.36,17363.44
02.01.2019 12:00:00 +01:00,15645.20,19574.56
02.01.2019 13:00:00 +01:00,16214.62,19495.13
02.01.2019 14:00:00 +01:00,17400.75,19208.32
02.01.2019 15:00:00 +01:00,19766.21,19514.10
02.01.2019 16:00:00 +01:00,20911.11,20156.90
02.01.2019 17:00:00 +01:00,22178.66,20050.02
02.01.2019 18:00:00 +01:00,22263.93,19851.68
02.01.2019 19:00:00 +01:00,21553.05,19621.55
02.01.2019 20:00:00 +01:00,21203.44,19387.80
02.01.2019 21:00:00 +01:00,20283.61,18927.07
02.01.2019 22:00:00 +01:00,19318.47,18362.07
02.01.2019 23:00:00 +01:00,16657.00,17626.71
03.01.2019 00:00:00 +01:00,15189.08,16860.45
03.01.2019 01:00:00 +01:00,13902.95,16538.72
03.01.2019 02:00:00 +01:00,13245.93,16456.62
03.01.2019 03:00:00 +01:00,13367.05,16360.03
03.01.2019 04:00:00 +01:00,13816.09,16444.33
03.01.2019 05:00:00 +01:00,15058.06,16785.04
03.01.2019 06:00:00 +01:00,17443.61,17671.42
03.01.2019 07:00:00 +01:00,20710.89,18545.69
03.01.2019 08:00:00 +01:00,22860.66,19408.96
03.01.2019 09:00:00 +01:00,23825.20,19619.46
03.01.2019 10:00:00 +01:00,23512.25,19219.11
03.01.2019 11:00:00 +01:00,24117.14,19449.12
03.01.2019 12:00:00 +01:00,24219.34,19442.53
03.01.2019 13:00:00 +01:00,23929.13,19261.44
03.01.2019 14:00:00 +01:00,23641.26,18914.49
03.01.2019 15:00:00 +01:00,23704.14,19318.55
03.01.2019 16:00:00 +01:00,23986.55,19646.73
03.01.2019 17:00:00 +01:00,24093.12,19538.61
03.01.2019 18:00:00 +01:00,23987.46,19307.07
03.01.2019 19:00:00 +01:00,23795.16,19047.39
03.01.2019 20:00:00 +01:00,22953.26,18761.91
03.01.2019 21:00:00 +01:00,21730.08,18342.90
03.01.2019 22:00:00 +01:00,19734.49,17745.65
03.01.2019 23:00:00 +01:00,16352.41,17061.94
04.01.2019 00:00:00 +01:00,15275.43,16341.60
04.01.2019 01:00:00 +01:00,13603.35,16004.39
04.01.2019 02:00:00 +01:00,12699.71,15810.44
04.01.2019 03:00:00 +01:00,12680.92,15728.31
04.01.2019 04:00:00 +01:00,12571.03,15788.46
04.01.2019 05:00:00 +01:00,13408.33,16199.24
04.01.2019 06:00:00 +01:00,16873.42,17375.68
04.01.2019 07:00:00 +01:00,20297.19,18680.21
04.01.2019 08:00:00 +01:00,22199.02,19122.86
04.01.2019 09:00:00 +01:00,22107.16,19053.86
04.01.2019 10:00:00 +01:00,21896.90,18899.36
04.01.2019 11:00:00 +01:00,20933.97,18657.12
04.01.2019 12:00:00 +01:00,19602.27,18577.30
04.01.2019 13:00:00 +01:00,18895.70,18360.19
04.01.2019 14:00:00 +01:00,17795.06,18249.27
04.01.2019 15:00:00 +01:00,18530.26,18230.33
04.01.2019 16:00:00 +01:00,20201.81,18362.14
04.01.2019 17:00:00 +01:00,20697.50,18262.36
04.01.2019 18:00:00 +01:00,20042.54,18003.47
04.01.2019 19:00:00 +01:00,18628.21,17662.91
04.01.2019 20:00:00 +01:00,16436.72,17289.91
04.01.2019 21:00:00 +01:00,15253.48,16776.20
04.01.2019 22:00:00 +01:00,14673.25,16292.96
04.01.2019 23:00:00 +01:00,13419.54,15571.97
05.01.2019 00:00:00 +01:00,13235.23,15338.99
05.01.2019 01:00:00 +01:00,12139.94,14727.71
05.01.2019 02:00:00 +01:00,11473.30,14760.15
05.01.2019 03:00:00 +01:00,11160.65,14625.91
05.01.2019 04:00:00 +01:00,11323.61,14627.39
05.01.2019 05:00:00 +01:00,11849.64,14724.58
05.01.2019 06:00:00 +01:00,12671.09,15064.40
05.01.2019 07:00:00 +01:00,13571.54,15216.31
05.01.2019 08:00:00 +01:00,15493.52,15989.65
05.01.2019 09:00:00 +01:00,17531.77,16637.99
05.01.2019 10:00:00 +01:00,18348.66,16957.83
05.01.2019 11:00:00 +01:00,18849.52,16832.74
05.01.2019 12:00:00 +01:00,19642.38,17089.76
05.01.2019 13:00:00 +01:00,19657.21,16990.61
05.01.2019 14:00:00 +01:00,20031.61,16936.86
05.01.2019 15:00:00 +01:00,21282.54,17068.80
05.01.2019 16:00:00 +01:00,22868.08,17450.30
05.01.2019 17:00:00 +01:00,23365.72,17623.92
05.01.2019 18:00:00 +01:00,23183.48,17601.71
05.01.2019 19:00:00 +01:00,22525.74,17330.90
05.01.2019 20:00:00 +01:00,20798.35,16928.70
05.01.2019 21:00:00 +01:00,19700.54,16488.41
05.01.2019 22:00:00 +01:00,17898.75,16148.23
05.01.2019 23:00:00 +01:00,16264.57,15919.91
06.01.2019 00:00:00 +01:00,13038.43,14370.68
06.01.2019 01:00:00 +01:00,12013.32,14110.25
06.01.2019 02:00:00 +01:00,11550.29,1161.11
06.01.2019 03:00:00 +01:00,11549.40,0.00
06.01.2019 04:00:00 +01:00,10892.54,7333.50
06.01.2019 05:00:00 +01:00,11170.44,13821.60
06.01.2019 06:00:00 +01:00,11729.82,14039.79
06.01.2019 07:00:00 +01:00,12495.02,14229.81
06.01.2019 08:00:00 +01:00,14278.19,14695.50
06.01.2019 09:00:00 +01:00,17156.41,15042.72
06.01.2019 10:00:00 +01:00,18271.52,15439.64
06.01.2019 11:00:00 +01:00,18414.37,15645.48
06.01.2019 12:00:00 +01:00,18282.42,15699.21
06.01.2019 13:00:00 +01:00,18056.41,15657.39
06.01.2019 14:00:00 +01:00,17439.51,15738.44
06.01.2019 15:00:00 +01:00,17627.16,15951.50
06.01.2019 16:00:00 +01:00,18985.25,16325.78
06.01.2019 17:00:00 +01:00,19632.52,16354.89
06.01.2019 18:00:00 +01:00,19463.38,16247.36
06.01.2019 19:00:00 +01:00,18613.67,16157.60
06.01.2019 20:00:00 +01:00,17826.03,16041.72
06.01.2019 21:00:00 +01:00,16839.31,15778.32
06.01.2019 22:00:00 +01:00,15219.32,15397.47
06.01.2019 23:00:00 +01:00,13720.73,14894.80
07.01.2019 00:00:00 +01:00,11744.11,14373.62
07.01.2019 01:00:00 +01:00,10821.28,13995.03
07.01.2019 02:00:00 +01:00,10598.16,13989.35
07.01.2019 03:00:00 +01:00,9954.63,14072.64
07.01.2019 04:00:00 +01:00,10771.45,14043.12
07.01.2019 05:00:00 +01:00,13659.49,14817.13
07.01.2019 06:00:00 +01:00,18815.86,16270.46
07.01.2019 07:00:00 +01:00,20908.98,17885.82
07.01.2019 08:00:00 +01:00,21611.37,18293.44
07.01.2019 09:00:00 +01:00,22137.06,18474.85
07.01.2019 10:00:00 +01:00,24084.73,19260.28
07.01.2019 11:00:00 +01:00,23595.70,19204.10
07.01.2019 12:00:00 +01:00,23283.25,18295.70
07.01.2019 13:00:00 +01:00,22729.36,19254.07
07.01.2019 14:00:00 +01:00,22609.30,19247.96
07.01.2019 15:00:00 +01:00,22316.69,19372.72
07.01.2019 16:00:00 +01:00,22185.46,19541.71
07.01.2019 17:00:00 +01:00,21687.77,19378.65
07.01.2019 18:00:00 +01:00,20160.82,19082.44
07.01.2019 19:00:00 +01:00,18976.65,18852.62
07.01.2019 20:00:00 +01:00,17644.77,18609.50
07.01.2019 21:00:00 +01:00,16435.67,18165.37
07.01.2019 22:00:00 +01:00,14767.22,17506.40
07.01.2019 23:00:00 +01:00,12692.92,16762.89
08.01.2019 00:00:00 +01:00,12145.61,16196.91
08.01.2019 01:00:00 +01:00,11640.15,15868.79
08.01.2019 02:00:00 +01:00,11295.73,15687.63
08.01.2019 03:00:00 +01:00,11502.90,15671.65
08.01.2019 04:00:00 +01:00,12173.72,15256.17
08.01.2019 05:00:00 +01:00,13785.84,16208.73
08.01.2019 06:00:00 +01:00,17079.68,17485.72
08.01.2019 07:00:00 +01:00,19036.81,18966.64
08.01.2019 08:00:00 +01:00,19493.79,19401.15
08.01.2019 09:00:00 +01:00,19265.30,19259.48
08.01.2019 10:00:00 +01:00,19066.48,19151.97
08.01.2019 11:00:00 +01:00,18444.07,19120.21
08.01.2019 12:00:00 +01:00,17535.45,19027.98
08.01.2019 13:00:00 +01:00,17103.52,18265.08
08.01.2019 14:00:00 +01:00,17436.85,18969.98
08.01.2019 15:00:00 +01:00,17842.40,18113.35
08.01.2019 16:00:00 +01:00,18612.43,19388.74
08.01.2019 17:00:00 +01:00,18636.86,19388.33
08.01.2019 18:00:00 +01:00,17843.11,19082.30
08.01.2019 19:00:00 +01:00,16940.07,18851.62
08.01.2019 20:00:00 +01:00,16308.55,18636.68
08.01.2019 21:00:00 +01:00,15987.17,18299.05
08.01.2019 22:00:00 +01:00,14775.57,17733.42
08.01.2019 23:00:00 +01:00,13339.56,16959.91
09.01.2019 00:00:00 +01:00,11862.54,16322.25
09.01.2019 01:00:00 +01:00,11256.73,15980.86
09.01.2019 02:00:00 +01:00,10906.78,15795.91
09.01.2019 03:00:00 +01:00,10826.10,15720.38
09.01.2019 04:00:00 +01:00,11064.39,15854.96
09.01.2019 05:00:00 +01:00,13157.18,16331.06
09.01.2019 06:00:00 +01:00,15845.82,17689.97
09.01.2019 07:00:00 +01:00,18199.23,19227.88
09.01.2019 08:00:00 +01:00,18920.79,19593.65
09.01.2019 09:00:00 +01:00,18576.72,19535.11
09.01.2019 10:00:00 +01:00,18770.22,18330.96
09.01.2019 11:00:00 +01:00,18459.10,19031.18
09.01.2019 12:00:00 +01:00,17889.99,18890.56
09.01.2019 13:00:00 +01:00,18134.07,18221.82
09.01.2019 14:00:00 +01:00,18697.78,19010.00
09.01.2019 15:00:00 +01:00,19985.18,19260.54
09.01.2019 16:00:00 +01:00,21510.66,19666.10
09.01.2019 17:00:00 +01:00,22239.25,19584.13
09.01.2019 18:00:00 +01:00,21981.26,19384.39
09.01.2019 19:00:00 +01:00,21632.45,18856.48
09.01.2019 20:00:00 +01:00,20705.38,18997.98
09.01.2019 21:00:00 +01:00,20332.02,18623.32
09.01.2019 22:00:00 +01:00,19506.45,18054.73
09.01.2019 23:00:00 +01:00,17486.37,17403.73
10.01.2019 00:00:00 +01:00,16671.94,16745.90
10.01.2019 01:00:00 +01:00,16388.66,16461.34
10.01.2019 02:00:00 +01:00,15952.00,16383.95
10.01.2019 03:00:00 +01:00,16210.72,16298.57
10.01.2019 04:00:00 +01:00,16342.64,16385.35
10.01.2019 05:00:00 +01:00,18639.48,16720.54
10.01.2019 06:00:00 +01:00,22854.87,17916.52
10.01.2019 07:00:00 +01:00,24254.89,19291.83
10.01.2019 08:00:00 +01:00,24184.75,19712.01
10.01.2019 09:00:00 +01:00,24265.13,19557.33
10.01.2019 10:00:00 +01:00,24380.22,19460.67
10.01.2019 11:00:00 +01:00,24401.07,19225.10
10.01.2019 12:00:00 +01:00,24472.46,19015.71
