Latitude (decimal degrees):	59.472
Longitude (decimal degrees):	5.326
Elevation (m):	18
Radiation database:	PVGIS-SARAH3


Slope: 42 deg. (optimum)
Azimuth: 5 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,-0.09,2.48,0.0
20230101:0111,0.0,0.0,-0.45,2.34,0.0
20230101:0211,0.0,0.0,-1.1,2.48,0.0
20230101:0311,0.0,0.0,-1.59,2.41,0.0
20230101:0411,0.0,0.0,-2.06,2.48,0.0
20230101:0511,0.0,0.0,-2.4,2.69,0.0
20230101:0611,0.0,0.0,-2.62,2.62,0.0
20230101:0711,0.0,0.0,-2.51,2.62,0.0
20230101:0811,0.0,0.0,-3.19,2.69,0.0
20230101:0911,8.07,1.91,-3.67,2.62,0.0
20230101:1011,135.1,5.43,-3.62,2.48,0.0
20230101:1111,163.74,7.28,-3.03,2.48,0.0
20230101:1211,134.3,7.3,-2.28,2.55,0.0
20230101:1311,6.28,5.5,-1.44,2.34,0.0
20230101:1411,1.65,2.01,-0.96,2.28,0.0
20230101:1511,0.0,0.0,-0.86,2.21,0.0
20230101:1611,0.0,0.0,-0.79,2.14,0.0
20230101:1711,0.0,0.0,-0.79,2.07,0.0
20230101:1811,0.0,0.0,-0.79,2.14,0.0
20230101:1911,0.0,0.0,-0.42,2.14,0.0
20230101:2011,0.0,0.0,-0.37,2.48,0.0
20230101:2111,0.0,0.0,-0.29,2.21,0.0
20230101:2211,0.0,0.0,-0.26,1.86,0.0
20230101:2311,0.0,0.0,-0.37,2.07,0.0
20230102:0011,0.0,0.0,-0.49,2.21,0.0
20230102:0111,0.0,0.0,-0.7,2.28,0.0
20230102:0211,0.0,0.0,-0.71,2.28,0.0
20230102:0311,0.0,0.0,-0.53,2.21,0.0
20230102:0411,0.0,0.0,-0.31,2.28,0.0
20230102:0511,0.0,0.0,-0.23,2.34,0.0
20230102:0611,0.0,0.0,-0.03,2.28,0.0
20230102:0711,0.0,0.0,0.83,2.21,0.0
20230102:0811,0.0,0.0,0.92,2.07,0.0
20230102:0911,3.59,1.96,0.9,1.86,0.0
20230102:1011,30.45,5.5,1.02,1.59,0.0
20230102:1111,17.04,7.36,1.42,1.17,0.0
20230102:1211,7.17,7.39,1.1,1.31,0.0
20230102:1311,5.38,5.6,0.72,1.52,0.0
20230102:1411,0.83,2.13,0.53,1.66,0.0
20230102:1511,0.0,0.0,0.39,1.79,0.0
20230102:1611,0.0,0.0,0.11,2.07,0.0
20230102:1711,0.0,0.0,0.1,1.93,0.0
20230102:1811,0.0,0.0,0.04,2.0,0.0
20230102:1911,0.0,0.0,0.48,1.86,0.0
20230102:2011,0.0,0.0,0.55,1.66,0.0
20230102:2111,0.0,0.0,0.54,1.31,0.0
20230102:2211,0.0,0.0,0.54,1.1,0.0
20230102:2311,0.0,0.0,0.29,1.03,0.0
20230103:0011,0.0,0.0,0.81,0.69,0.0
20230103:0111,0.0,0.0,0.75,0.41,0.0
20230103:0211,0.0,0.0,0.35,0.69,0.0
20230103:0311,0.0,0.0,-0.7,1.24,0.0
20230103:0411,0.0,0.0,-0.82,1.72,0.0
20230103:0511,0.0,0.0,-0.42,1.93,0.0
20230103:0611,0.0,0.0,-0.62,2.34,0.0
20230103:0711,0.0,0.0,-0.14,2.21,0.0
20230103:0811,0.0,0.0,0.02,2.28,0.0
20230103:0911,8.07,2.02,0.07,2.48,0.0
20230103:1011,299.4,5.57,1.21,2.76,0.0
20230103:1111,279.37,7.44,2.95,3.17,0.0
20230103:1211,87.26,7.49,3.3,3.79,0.0
20230103:1311,6.28,5.71,3.42,4.14,0.0
20230103:1411,1.65,2.25,3.26,4.28,0.0
20230103:1511,0.0,0.0,3.13,4.55,0.0
20230103:1611,0.0,0.0,3.23,4.97,0.0
20230103:1711,0.0,0.0,3.44,5.52,0.0
20230103:1811,0.0,0.0,3.42,6.14,0.0
20230103:1911,0.0,0.0,3.52,6.41,0.0
20230103:2011,0.0,0.0,3.56,6.41,0.0
20230103:2111,0.0,0.0,3.72,6.62,0.0
20230103:2211,0.0,0.0,3.75,6.69,0.0
20230103:2311,0.0,0.0,3.68,6.55,0.0
20230104:0011,0.0,0.0,3.95,6.55,0.0
20230104:0111,0.0,0.0,4.22,6.83,0.0
20230104:0211,0.0,0.0,4.45,6.83,0.0
20230104:0311,0.0,0.0,4.45,6.9,0.0
20230104:0411,0.0,0.0,4.19,6.9,0.0
20230104:0511,0.0,0.0,3.79,6.76,0.0
20230104:0611,0.0,0.0,3.33,6.69,0.0
20230104:0711,0.0,0.0,2.99,7.31,0.0
20230104:0811,0.0,0.0,2.59,7.66,0.0
20230104:0911,0.9,2.08,2.02,7.93,0.0
20230104:1011,13.45,5.65,2.28,8.55,0.0
20230104:1111,26.9,7.53,2.5,8.62,0.0
20230104:1211,110.2,7.6,2.81,8.41,0.0
20230104:1311,94.13,5.83,3.0,8.21,0.0
20230104:1411,1.65,2.37,2.73,7.79,0.0
20230104:1511,0.0,0.0,2.43,7.38,0.0
20230104:1611,0.0,0.0,2.09,6.9,0.0
20230104:1711,0.0,0.0,1.62,6.55,0.0
20230104:1811,0.0,0.0,1.29,6.21,0.0
20230104:1911,0.0,0.0,1.84,4.41,0.0
20230104:2011,0.0,0.0,1.56,4.28,0.0
20230104:2111,0.0,0.0,1.32,3.79,0.0
20230104:2211,0.0,0.0,1.1,3.24,0.0
20230104:2311,0.0,0.0,1.0,2.69,0.0
20230105:0011,0.0,0.0,0.86,2.14,0.0
20230105:0111,0.0,0.0,0.68,1.72,0.0
20230105:0211,0.0,0.0,0.53,1.79,0.0
20230105:0311,0.0,0.0,0.43,2.0,0.0
20230105:0411,0.0,0.0,0.4,2.14,0.0
20230105:0511,0.0,0.0,0.43,2.34,0.0
20230105:0611,0.0,0.0,0.48,2.62,0.0
20230105:0711,0.0,0.0,0.99,3.45,0.0
20230105:0811,0.0,0.0,1.25,3.79,0.0
20230105:0911,0.9,2.15,1.39,4.48,0.0
20230105:1011,6.28,5.73,1.4,4.83,0.0
20230105:1111,30.49,7.64,1.45,5.1,0.0
20230105:1211,26.9,7.71,1.56,5.38,0.0
20230105:1311,34.18,5.96,1.54,5.66,0.0
20230105:1411,1.65,2.51,1.37,5.86,0.0
20230105:1511,0.0,0.0,1.09,6.0,0.0
20230105:1611,0.0,0.0,0.84,6.41,0.0
20230105:1711,0.0,0.0,0.69,6.62,0.0
20230105:1811,0.0,0.0,0.77,6.97,0.0
20230105:1911,0.0,0.0,0.82,6.69,0.0
20230105:2011,0.0,0.0,1.0,7.17,0.0
20230105:2111,0.0,0.0,1.12,7.52,0.0
20230105:2211,0.0,0.0,1.25,7.86,0.0
20230105:2311,0.0,0.0,1.37,8.07,0.0
20230106:0011,0.0,0.0,1.44,8.62,0.0
20230106:0111,0.0,0.0,1.73,8.76,0.0
20230106:0211,0.0,0.0,1.65,8.9,0.0
20230106:0311,0.0,0.0,2.41,9.59,0.0
20230106:0411,0.0,0.0,2.11,9.31,0.0
20230106:0511,0.0,0.0,2.12,9.17,0.0
20230106:0611,0.0,0.0,2.19,8.34,0.0
20230106:0711,0.0,0.0,2.26,8.07,0.0
20230106:0811,0.0,0.0,2.25,7.86,0.0
20230106:0911,0.9,2.23,2.29,7.66,0.0
20230106:1011,20.63,5.83,2.78,7.59,0.0
20230106:1111,78.08,7.74,3.22,7.66,0.0
