,Actual Load,Actual Load,Actual Load
,max,min,std
Unnamed: 0,,,
2024-12-31 00:00:00+00:00,17755.2,17755.2,
2025-01-31 00:00:00+00:00,23414.45,16044.31,1599.451147769408
2025-02-28 00:00:00+00:00,22580.13,15787.15,1370.5178956265445
2025-03-31 00:00:00+00:00,21388.71,14062.85,1132.181911467545
2025-04-30 00:00:00+00:00,18677.24,12629.49,1011.3376064139726
2025-05-31 00:00:00+00:00,16529.73,11672.24,897.1865808982575
2025-06-30 00:00:00+00:00,14514.56,10424.07,846.1270952782827
2025-07-31 00:00:00+00:00,13918.77,8132.75,750.4582317003293
2025-08-31 00:00:00+00:00,15308.68,10493.05,934.5194642808813
2025-09-30 00:00:00+00:00,16173.05,11207.17,1044.542255734007
2025-10-31 00:00:00+00:00,18782.19,11980.32,1343.101181020954
2025-11-30 00:00:00+00:00,22193.98,13137.72,2024.6072159601756
2025-12-31 00:00:00+00:00,21598.76,14775.15,1399.6746178181393
